synth_image,nn_train_image,cosine_sim
consolidation_00182.png,CXR2350_IM-0916-2001.png,0.9761
atelectasis_00152.png,CXR135_IM-0227-1001.png,0.9751
effusion_00169.png,CXR1840_IM-0545-1001.png,0.9746
atelectasis_00008.png,CXR2394_IM-0944-1001.png,0.9746
edema_00015.png,CXR1144_IM-0097-1001.png,0.9741
atelectasis_00111.png,CXR1349_IM-0227-1001.png,0.9731
cardiomegaly_00124.png,CXR135_IM-0227-1001.png,0.9731
edema_00156.png,CXR1967_IM-0629-1001.png,0.9727
effusion_00197.png,CXR2394_IM-0944-1001.png,0.9727
edema_00123.png,CXR1947_IM-0616-1001.png,0.9722
cardiomegaly_00088.png,CXR2255_IM-0847-3001.png,0.9717
consolidation_00026.png,CXR1349_IM-0227-1001.png,0.9717
cardiomegaly_00199.png,CXR1840_IM-0545-1001.png,0.9717
edema_00147.png,CXR2394_IM-0944-1001.png,0.9712
atelectasis_00122.png,CXR2394_IM-0944-1001.png,0.9712
edema_00134.png,CXR1390_IM-0249-1001.png,0.9712
consolidation_00034.png,CXR1144_IM-0097-1001.png,0.9712
consolidation_00191.png,CXR1947_IM-0616-1001.png,0.9712
edema_00163.png,CXR1165_IM-0110-1001.png,0.9707
consolidation_00196.png,CXR1840_IM-0545-1001.png,0.9707
edema_00016.png,CXR2394_IM-0944-1001.png,0.9702
edema_00082.png,CXR2394_IM-0944-1001.png,0.9702
cardiomegaly_00198.png,CXR1947_IM-0616-1001.png,0.9702
effusion_00026.png,CXR2350_IM-0916-2001.png,0.9702
atelectasis_00167.png,CXR2394_IM-0944-1001.png,0.9702
cardiomegaly_00093.png,CXR2153_IM-0773-1001.png,0.9702
cardiomegaly_00074.png,CXR1947_IM-0616-1001.png,0.9702
cardiomegaly_00145.png,CXR1165_IM-0110-1001.png,0.9702
effusion_00099.png,CXR135_IM-0227-1001.png,0.9697
cardiomegaly_00151.png,CXR2350_IM-0916-2001.png,0.9697
effusion_00187.png,CXR2394_IM-0944-1001.png,0.9697
effusion_00096.png,CXR1144_IM-0097-1001.png,0.9697
effusion_00112.png,CXR1947_IM-0616-1001.png,0.9697
atelectasis_00195.png,CXR2153_IM-0773-1001.png,0.9697
consolidation_00127.png,CXR1144_IM-0097-1001.png,0.9692
consolidation_00002.png,CXR2394_IM-0944-1001.png,0.9692
consolidation_00075.png,CXR1851_IM-0553-1001.png,0.9692
effusion_00090.png,CXR1947_IM-0616-1001.png,0.9692
consolidation_00140.png,CXR1349_IM-0227-1001.png,0.9692
edema_00032.png,CXR1144_IM-0097-1001.png,0.9688
effusion_00012.png,CXR2153_IM-0773-1001.png,0.9688
consolidation_00117.png,CXR1967_IM-0629-1001.png,0.9688
edema_00051.png,CXR2129_IM-0753-1001.png,0.9688
atelectasis_00054.png,CXR1631_IM-0412-0001-0002.png,0.9683
effusion_00021.png,CXR1178_IM-0121-1001.png,0.9683
edema_00164.png,CXR1947_IM-0616-1001.png,0.9683
consolidation_00058.png,CXR1840_IM-0545-1001.png,0.9683
edema_00139.png,CXR2563_IM-1066-1001.png,0.9683
edema_00107.png,CXR125_IM-0169-1001.png,0.9683
cardiomegaly_00162.png,CXR1840_IM-0545-1001.png,0.9683
